subject,stem,optionA,optionB,optionC,optionD,correctAnswer,difficulty,year,source,bankTitle,,,,,
math,"If x+y=7 and xy=10, then x³+y³ equals?",133,217,343,189,133,medium,2024,practice,Combined Set 1,,,,,
math,The value of sin 75° is?,(√6+√2)/4,(√3+1)/2,(√6−√2)/4,√3/2,(√6+√2)/4,hard,2024,practice,Combined Set 1,,,,,
math,"If f(x)=x²+ax+b has minimum value −4 at x=1, then (a,b) equals?","(−2,-3)","(-2,-5)","(2,-5)","(2,3)","(-2,-5)",hard,2024,practice,Combined Set 1,,,,,IUT Admission Math Bank
math,The determinant of |2 1 3;1 0 2;4 1 6| equals?,0,1,2,-1,0,hard,2024,practice,Combined Set 1,,,,,
math,"If log₃(x−1)=2, then x equals?",7,10,4,9,10,medium,2024,practice,Combined Set 1,,,,,
math,The equation |x−3|+|x+1|=8 has solutions?,"                 x=1,2",                x=5.-1,"                x=5,-3","                x=3,1 ","                x=5,-1",hard,2024,practice,Combined Set 1,,,,,IUT Admission Math Bank
math,"If tan θ + sec θ = 2, then sin θ equals?",3/5,4/5,5/13,12/13,3/5,hard,2024,practice,Combined Set 1,,,,,
math,The number of real solutions of x⁴−5x²+4=0 is?,2,4,1,0,4,medium,2024,practice,Combined Set 1,,,,,
math,"If A={1,2,3,4}, number of relations from A to A is?",16,256,65536,24,65536,hard,2024,practice,Combined Set 1,,,,,
math,"The equation of the circle with diameter joining (1,2) and (3,4) is?",x²+y²−4x−6y+13=0,x²+y²−4x−6y+9=0,x²+y²−4x−6y+10=0,x²+y²−2x−2y+5=0,x²+y²−4x−6y+10=0,hard,2024,practice,Combined Set 1,,,,,
math,"If α and β are roots of x²−5x+6=0, then α²+β² equals?",25,13,7,11,13,medium,2024,practice,Combined Set 1,,,,,
math,The value of lim x→0 (sin 3x)/(sin 5x) equals?,3/5,5/3,1,0,3/5,medium,2024,practice,Combined Set 1,,,,,
math,"If nC2 + nC3 = 55, then n equals?",10,11,12,9,11,hard,2024,practice,Combined Set 1,,,,,
math,The slope of the tangent to y=x³−3x at x=1 is?,0,3,-3,6,0,medium,2024,practice,Combined Set 1,,,,,
math,"If z=2+3i, then |z| equals?",√13,5,13,√5,√13,easy,2024,practice,Combined Set 1,,,,,
math,The number of diagonals in a decagon is?,35,40,45,50,,medium,2024,practice,Combined Set 1,,,,,
math,"If logₐb = 2 and logᵦc = 3, then logₐc equals?",5,6,8,9,6,medium,2024,practice,Combined Set 1,,,,,
math,The area bounded by y=x² and y=4 is?,16/3,8/3,32/3,4,32/3,hard,2024,practice,Combined Set 1,,,,,
math,"If sec θ − tan θ = 1, then sec θ + tan θ equals?",1,2,3,4,1,hard,2024,practice,Combined Set 1,,,,,
math,"If f'(x)=3x²−6x and f(0)=5, then f(2) equals?",1,3,5,9,1,hard,2024,practice,Combined Set 1,,,,,
math,"The locus of a point equidistant from (2,3) and (−2,1) is?",x+y=2,x−y=1,2x+y=5,x+2y=4,x+y=2,medium,2024,practice,Combined Set 1,,,,,
math,"If the mean of first n natural numbers is 20, then n equals?",39,40,41,42,39,medium,2024,practice,Combined Set 1,,,,,
math,The value of i⁵⁷ is?,i,−i,1,-1,i,easy,2024,practice,Combined Set 1,,,,,
math,"If sin θ = 3/5 and θ is acute, then cos θ equals?",4/5,5/4,√(16/25),3/4,4/5,medium,2024,practice,Combined Set 1,,,,,
math,The sum of roots of x²−(k+1)x+k=0 is 6. Find k.,4,5,6,7,5,hard,2024,practice,Combined Set 1,,,,,
math,The number of subsets of a set having 5 elements is?,16,25,32,64,32,easy,2024,practice,Combined Set 1,,,,,
math,"If |x−2|<3, then x lies in?","                (−1,5)","                (-5,1)","                  (1,5)","                 (-3,3)","                 (-1,5)",medium,2024,practice,Combined Set 1,,,,,IUT Admission Math Bank
math,The value of cos 36° is?,(√5+1)/4,(√5−1)/4,√3/2,1/2,(√5+1)/4,hard,2024,practice,Combined Set 1,,,,,
math,The condition for quadratic ax²+bx+c=0 to have equal roots is?,b²=4ac,b²>4ac,b²<4ac,a=0,b²=4ac,medium,2024,practice,Combined Set 1,,,,,
math,"If A and B are independent events, then P(A∩B) equals?",P(A)+P(B),P(A)−P(B),P(A)P(B),1−P(A)P(B),P(A)P(B),medium,2024,practice,Combined Set 1,,,,,
math,The derivative of e^(2x) is?,e²ˣ,2e²ˣ,eˣ,2eˣ,2e²ˣ,medium,2024,practice,Combined Set 1,,,,,
math,The value of ∫₀¹ x² dx is?,1/2,1/3,1/4,2/3,1/3,medium,2024,practice,Combined Set 1,,,,,
math,"If the roots of ax²+bx+c=0 are reciprocal, then?",a=b,c=a,a=c,b=0,a=c,hard,2024,practice,Combined Set 1,,,,,
math,"The distance between (1,−2) and (−2,2) is?",4,5,√17,√20,5,medium,2024,practice,Combined Set 1,,,,,
phy,Which law explains inertia?,First law,Second law,Third law,Law of gravitation,First law,easy,2024,practice,Combined Set 1,,,,,
phy,SI unit of force is?,Newton,Joule,Watt,Pascal,Newton,easy,2024,practice,Combined Set 1,,,,,
phy,Dimension of pressure is?,ML⁻¹T⁻²,MLT⁻²,M²LT⁻²,ML²T⁻²,ML⁻¹T⁻²,medium,2024,practice,Combined Set 1,,,,,
phy,Work done in circular motion is?,Maximum,Minimum,Zero,Infinite,Zero,medium,2024,practice,Combined Set 1,,,,,
phy,Which quantity is scalar?,Velocity,Acceleration,Force,Energy,Energy,easy,2024,practice,Combined Set 1,,,,,
phy,Escape velocity depends on?,Mass only,Radius only,Both mass and radius,Neither,Both mass and radius,medium,2024,practice,Combined Set 1,,,,,
phy,Unit of gravitational constant G is?,Nm²kg⁻²,Nkg²m⁻²,Nmkg⁻¹,Nkg⁻¹m²,Nm²kg⁻²,hard,2024,practice,Combined Set 1,,,,,
phy,Time period of simple pendulum depends on?,Mass,Amplitude,Length,Material,Length,medium,2024,practice,Combined Set 1,,,,,
phy,Which has maximum inertia?,Car,Ball,Truck,Bicycle,Truck,easy,2024,practice,Combined Set 1,,,,,
phy,Momentum unit is?,kgms⁻¹,Ns,Joule,Both A and B,Both A and B,medium,2024,practice,Combined Set 1,,,,,
phy,"If velocity doubles, kinetic energy becomes?",Double,Triple,Four times,Half,Four times,easy,2024,practice,Combined Set 1,,,,,
phy,Centripetal force acts?,Outward,Along velocity,Towards center,Opposite motion,Towards center,easy,2024,practice,Combined Set 1,,,,,
phy,Which wave requires medium?,Light,Radio,Sound,X-ray,Sound,easy,2024,practice,Combined Set 1,,,,,
